ID,Mask Path,Top Left X,Top Left Y,Width,Height,Area,Orientation
108-1,Output_Masks\IMG_20230719_10_38_mask.jpg,355.0,408.0,429.0,244.0,104676.0,vertical
109-1,Output_Masks\IMG_20230720_6_40_mask.jpg,383.0,241.0,457.0,109.0,49813.0,vertical
110-1,Output_Masks\IMG_20230721_1_36_mask.jpg,451.0,226.0,240.0,258.0,61920.0,vertical
111-1,Output_Masks\IMG_20230801_2_28_mask.jpg,301.0,326.0,489.0,263.0,128607.0,horizontal
114-1,Output_Masks\IMG_20230719_4_43_mask.jpg,505.0,379.0,252.0,302.0,76104.0,horizontal
116-1,Output_Masks\IMG_20230727_2_55_mask.jpg,416.0,282.0,379.0,378.0,143262.0,vertical
117-1,Output_Masks\IMG_20230721_1_39_mask.jpg,433.0,352.0,356.0,212.0,75472.0,horizontal
120-1,Output_Masks\IMG_20230804_2_41_mask.jpg,193.0,576.0,326.0,113.0,36838.0,horizontal
121-1,Output_Masks\IMG_20230804_3_40_mask.jpg,369.0,318.0,523.0,158.0,82634.0,vertical
122-1,Output_Masks\IMG_20230918_1_34_mask.jpg,532.0,281.0,264.0,364.0,96096.0,vertical
123-1,Output_Masks\IMG_20231010_1_23_mask.jpg,435.0,274.0,396.0,200.0,79200.0,vertical
125-1,Output_Masks\IMG_20230912_2_39_mask.jpg,324.0,497.0,461.0,240.0,110640.0,vertical
126-1,Output_Masks\IMG_20231004_1_50_mask.jpg,319.0,549.0,225.0,217.0,48825.0,vertical
127-1,Output_Masks\IMG_20230925_1_34_mask.jpg,471.0,385.0,236.0,252.0,59472.0,vertical
128-1,Output_Masks\IMG_20230821_1_40_mask.jpg,313.0,344.0,298.0,258.0,76884.0,horizontal
133-1,Output_Masks\IMG_20231005_2_42_mask.jpg,353.0,400.0,348.0,190.0,66120.0,horizontal
134-1,Output_Masks\IMG_20231004_1_48_mask.jpg,355.0,317.0,513.0,86.0,44118.0,vertical
135-1,Output_Masks\IMG_20230908_1_27_mask.jpg,419.0,453.0,369.0,134.0,49446.0,vertical
137-1,Output_Masks\IMG_20231026_1_29_mask.jpg,410.0,313.0,508.0,153.0,77724.0,vertical
140-1,Output_Masks\IMG_20231017_1_56_mask.jpg,347.0,572.0,347.0,164.0,56908.0,vertical
141-1,Output_Masks\IMG_20231018_1_29_mask.jpg,485.0,244.0,131.0,273.0,35763.0,horizontal
142-1,Output_Masks\IMG_20230926_1_36_mask.jpg,392.0,416.0,436.0,219.0,95484.0,vertical
144-1,Output_Masks\IMG_20230928_1_33_mask.jpg,505.0,449.0,221.0,340.0,75140.0,vertical
145-1,Output_Masks\IMG_20230929_1_19_mask.jpg,550.0,460.0,295.0,265.0,78175.0,horizontal
146-1,Output_Masks\IMG_20231108_2_35_mask.jpg,548.0,168.0,172.0,662.0,113864.0,horizontal
148-1,Output_Masks\IMG_20231016_1_33_mask.jpg,392.0,426.0,405.0,140.0,56700.0,vertical
167-1,Output_Masks\IMG_20231215_1_15_mask.jpg,469.0,349.0,281.0,333.0,93573.0,vertical
175-1,Output_Masks\IMG_20240117_1_38_mask.jpg,303.0,350.0,451.0,131.0,59081.0,vertical
